"Код_товара","Название_позиции","Ключевые_слова","Описание","Тип_товара","Цена","Валюта","Единица_измерения","Минимальный_объем_заказа","Оптовая_цена","Минимальный_заказ_опт","Ссылка_изображения","Наличие","Количество","Номер_группы","Название_группы","Адрес_подраздела","Возможность_поставки","Срок_поставки","Способ_упаковки","Уникальный_идентификатор","Идентификатор_товара","Идентификатор_подраздела","Идентификатор_группы","Производитель","Страна_производитель","Скидка","ID_группы_разновидностей","Метки","Продукт_на_сайте"
"LCD-1","LCD панель в сборе","","LCD панель в сборе","u","200.00000","UAH","шт.","","150.00000","2.000","","-","","18673478","Корневая группа","https://prom.ua/Komplekty-koles-v-sbore","","","","774013166","LCD-1","341509","","","","","","","https://makaev-testovaya.prom.ua/p774013166-lcd-panel-sbore.html"
"App_chrg","Колесо АПП","","Колесо АПП","u","198.00000","UAH","шт.","","148.50000","2.000","","-","","18673478","Корневая группа","https://prom.ua/Other","","","","774013167","App_chrg","29","","","","","","","https://makaev-testovaya.prom.ua/p774013167-koleso-app.html"
"Appl_cord","Колесо БПП","","Колесо БПП","u","100.00000","UAH","шт.","","75.00000","2.000","","-","","18673478","Корневая группа","https://prom.ua/Other","","","","774013168","Appl_cord","29","","","","","","","https://makaev-testovaya.prom.ua/p774013168-koleso-bpp.html"
"PWC-767","Контроллер питания","","Контроллер питания","u","100.00000","UAH","шт.","","75.00000","2.000","","-","","18673478","Корневая группа","https://prom.ua/Other","","","","774013169","PWC-767","29","","","","","","","https://makaev-testovaya.prom.ua/p774013169-kontroller-pitaniya.html"
"LP-1","Лампочка","","Лампочка","u","20.00000","UAH","шт.","","15.00000","2.000","","-","","18673478","Корневая группа","https://prom.ua/Lampochki","","","","774013170","LP-1","150402","","","","","","","https://makaev-testovaya.prom.ua/p774013170-lampochka.html"
"PWR1","Модуль питания","","Модуль питания","u","100.00000","UAH","шт.","","75.00000","2.000","","-","","18673478","Корневая группа","https://prom.ua/Other","","","","774013171","PWR1","29","","","","","","","https://makaev-testovaya.prom.ua/p774013171-modul-pitaniya.html"
"10000","Спички для разогрева","","Спички для разогрева","u","50.00000","UAH","шт.","","20.00000","2.000","","-","","18673478","Корневая группа","https://prom.ua/Spichki","","","","774013172","10000","152607","","","","","","","https://makaev-testovaya.prom.ua/p774013172-spichki-dlya-razogreva.html"
"BLK_IPH5","Труба изогнутая","","Труба изогнутая","u","420.00000","UAH","шт.","","350.00000","2.000","","-","","38405695","Магазин","https://prom.ua/Homuty-zazhimy","","","","774013173","BLK_IPH5","420509","","","","","","","https://makaev-testovaya.prom.ua/p774013173-truba-izognutaya.html"
"A10000","Спички для разогрева","","Спички для разогрева","u","5.00000","UAH","шт.","","2.00000","2.000","","-","","18673478","Корневая группа","https://prom.ua/Spichki","","","","774841743","A10000","152607","","","","","","","https://makaev-testovaya.prom.ua/p774841743-spichki-dlya-razogreva.html"
"""4.0010""","""Активатор (ребро барабана) Indesit C00065463""","","""Активатор (ребро барабана) Indesit C00065463""","r","125125.00000","UAH","шт.","","105105.00000","2.000","","-","","18673478","Корневая группа","https://prom.ua/Other","","","","781573790","""4.0010-1.68.0007""","29","","","","","","","https://makaev-testovaya.prom.ua/p781573790-aktivator-rebro-barabana.html"
"""4.0009""","""Активатор (ребро барабана) Indesit C00065463 (не оригинал)""","","""Активатор (ребро барабана) Indesit C00065463 (не оригинал)""","r","110110.00000","UAH","шт.","","7777.00000","2.000","","+","","18673478","Корневая группа","https://prom.ua/Other","","","","781573791","""4.0009-1.68.0056""","29","","","","","","","https://makaev-testovaya.prom.ua/p781573791-aktivator-rebro-barabana.html"
"""4.0001""","""Активатор (ребро барабана) Samsung DC97-02051D""","","""Активатор (ребро барабана) Samsung DC97-02051D""","r","185185.00000","UAH","шт.","","139139.00000","2.000","","+","","18673478","Корневая группа","https://prom.ua/Other","","","","781573792","""4.0001-1.68.0031""","29","","","","","","","https://makaev-testovaya.prom.ua/p781573792-aktivator-rebro-barabana.html"
"""4.0002""","""Активатор (ребро барабана) Whirlpool 481010517566""","","""Активатор (ребро барабана) Whirlpool 481010517566""","r","0.00001","UAH","шт.","","0.00001","2.000","","-","","18673478","Корневая группа","https://prom.ua/Other","","","","781573793","""4.0002-1.68.0047""","29","","","","","","","https://makaev-testovaya.prom.ua/p781573793-aktivator-rebro-barabana.html"
"""4.0006""","""Активатор (Ребро) в барабан Elecrolux Zanussi Без груза""","","""Активатор (Ребро) в барабан Elecrolux Zanussi Без груза""","r","248248.00000","UAH","шт.","","204204.00000","2.000","","+","","18673478","Корневая группа","https://prom.ua/Other","","","","781573794","""4.0006-1.68.0001""","29","","","","","","","https://makaev-testovaya.prom.ua/p781573794-aktivator-rebro-baraban.html"
"""4.0007""","""Активатор(Ребро) в барабан Indesit Ariston C00268109 не оригинал""","","""Активатор(Ребро) в барабан Indesit Ariston C00268109 не оригинал""","r","175175.00000","UAH","шт.","","8585.00000","2.000","","+","","18673478","Корневая группа","https://prom.ua/Other","","","","781573795","""4.0007-1.68.0063""","29","","","","","","","https://makaev-testovaya.prom.ua/p781573795-aktivatorrebro-baraban-indesit.html"
"""4.0004""","""Активатор (Ребро) в барабан LG 4432EN2002A""","","""Активатор (Ребро) в барабан LG 4432EN2002A""","r","103103.00000","UAH","шт.","","9090.00000","2.000","","-","","18673478","Корневая группа","https://prom.ua/Other","","","","781573796","""4.0004-1.68.0021""","29","","","","","","","https://makaev-testovaya.prom.ua/p781573796-aktivator-rebro-baraban.html"
"""1.007""","""Амортизатор 100N Samsung DC66-00343G Original""","","""Амортизатор 100N Samsung DC66-00343G Original""","r","120120.00000","UAH","шт.","","9393.00000","2.000","","+","","18673478","Корневая группа","https://prom.ua/Other","","","","781573797","""1.007-1.22.0006""","29","","","","","","","https://makaev-testovaya.prom.ua/p781573797-amortizator-100n-samsung.html"
"""1.020""","""Амортизатор 120N Bosch Miele 107654""","","""Амортизатор 120N Bosch Miele 107654""","r","150150.00000","UAH","шт.","","120120.00000","2.000","","+","","18673478","Корневая группа","https://prom.ua/Other","","","","781573798","""1.020-1.22.0168""","29","","","","","","","https://makaev-testovaya.prom.ua/p781573798-amortizator-120n-bosch.html"
"""1.022""","""Амортизатор 120N Miele Bosch""","","""Амортизатор 120N Miele Bosch""","r","214214.00000","UAH","шт.","","176176.00000","2.000","","+","","18673478","Корневая группа","https://prom.ua/Other","","","","781573799","""1.022-1.22.0159""","29","","","","","","","https://makaev-testovaya.prom.ua/p781573799-amortizator-120n-miele.html"
"""1.017""","""Амортизатор 40N Samsung DC66-00343E""","","""Амортизатор 40N Samsung DC66-00343E""","r","114114.00000","UAH","шт.","","9494.00000","2.000","","+","","18673478","Корневая группа","https://prom.ua/Other","","","","781573800","""1.017-1.22.0118""","29","","","","","","","https://makaev-testovaya.prom.ua/p781573800-amortizator-40n-samsung.html"
"""1.029""","""Амортизатор 60N Zanussi Electrolux 132255383 (не оригинал)""","","""Амортизатор 60N Zanussi Electrolux 132255383 (не оригинал)""","r","120120.00000","UAH","шт.","","7373.00000","2.000","","+","","18673478","Корневая группа","https://prom.ua/Other","","","","781573801","""1.029-1.22.0191""","29","","","","","","","https://makaev-testovaya.prom.ua/p781573801-amortizator-60n-zanussi.html"
